
2024/11/12 (13:49:00) | ===> btop++ v.1.4.0
2024/11/12 (13:49:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (13:49:36) | ===> btop++ v.1.4.0
2024/11/12 (13:49:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (17:49:57) | ===> btop++ v.1.4.0
2024/11/13 (17:49:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (18:29:56) | ===> btop++ v.1.4.0
2024/11/13 (18:29:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:32:59) | ===> btop++ v.1.4.0
2024/11/14 (01:32:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:33:00) | ===> btop++ v.1.4.0
2024/11/14 (01:33:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:48:48) | ===> btop++ v.1.4.0
2024/11/14 (11:48:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:06:14) | ===> btop++ v.1.4.0
2024/11/14 (16:06:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:06:16) | ===> btop++ v.1.4.0
2024/11/14 (16:06:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:25:46) | ===> btop++ v.1.4.0
2024/11/14 (16:25:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:36:19) | ===> btop++ v.1.4.0
2024/11/14 (16:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:41:00) | ===> btop++ v.1.4.0
2024/11/14 (16:41:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (17:48:45) | ===> btop++ v.1.4.0
2024/11/14 (17:48:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (18:52:48) | ===> btop++ v.1.4.0
2024/11/14 (18:52:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (19:44:25) | ===> btop++ v.1.4.0
2024/11/14 (19:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (23:11:19) | ===> btop++ v.1.4.0
2024/11/14 (23:11:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (23:59:42) | ===> btop++ v.1.4.0
2024/11/14 (23:59:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (03:16:19) | ===> btop++ v.1.4.0
2024/11/15 (03:16:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (03:16:24) | ===> btop++ v.1.4.0
2024/11/15 (03:16:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (01:39:51) | ===> btop++ v.1.4.0
2024/11/16 (01:39:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (16:40:17) | ===> btop++ v.1.4.0
2024/11/16 (16:40:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (16:40:00) | ===> btop++ v.1.4.0
2024/11/18 (16:40:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (04:18:37) | ===> btop++ v.1.4.0
2024/11/21 (04:18:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (01:45:05) | ===> btop++ v.1.4.0
2024/11/22 (01:45:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (01:45:07) | ===> btop++ v.1.4.0
2024/11/22 (01:45:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (23:07:50) | ===> btop++ v.1.4.0
2024/11/27 (23:07:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (23:35:04) | ===> btop++ v.1.4.0
2024/11/27 (23:35:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (23:37:00) | ===> btop++ v.1.4.0
2024/11/27 (23:37:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (12:31:44) | ===> btop++ v.1.4.0
2024/11/28 (12:31:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (12:32:37) | ===> btop++ v.1.4.0
2024/11/28 (12:32:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (14:37:03) | ===> btop++ v.1.4.0
2024/11/28 (14:37:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (14:39:57) | ===> btop++ v.1.4.0
2024/11/28 (14:39:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (14:58:12) | ===> btop++ v.1.4.0
2024/11/28 (14:58:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:15:23) | ===> btop++ v.1.4.0
2024/11/28 (15:15:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:23:06) | ===> btop++ v.1.4.0
